,AliasName,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
0,AirBiasVal,AIRBIASVAL,Float,1,R/W,100,,,,,,,,,,,
1,AirCv,AIRCV,Float,1,R/W,100,,,,,,,,,,,
2,AirDb,AIRDB,Float,1,R/W,100,,,,,,,,,,,
3,AirErrAlDb,AIRERRALDB,Float,1,R/W,100,,,,,,,,,,,
4,AirErrNegAlLim,AIRERRNEGALLIM,Float,1,R/W,100,,,,,,,,,,,
5,AirErrPosAlLim,AIRERRPOSALLIM,Float,1,R/W,100,,,,,,,,,,,
6,AirFlwTmpComp,AIRFLWTMPCOMP,Float,1,R/W,100,,,,,,,,,,,
7,AirHtrInTmp,AIRHTRINTMP,Float,1,R/W,100,,,,,,,,,,,
8,AirHtrInTmpMax,AIRHTRINTMPMAX,Float,1,R/W,100,,,,,,,,,,,
9,AirHtrInTmpMin,AIRHTRINTMPMIN,Float,1,R/W,100,,,,,,,,,,,
10,AirHtrInTmpPct,AIRHTRINTMPPCT,Float,1,R/W,100,,,,,,,,,,,
11,AirHtrInTmpRng,AIRHTRINTMPRNG,Float,1,R/W,100,,,,,,,,,,,
12,AirKc,AIRKC,Float,1,R/W,100,,,,,,,,,,,
13,AirKcFast,AIRKCFAST,Float,1,R/W,100,,,,,,,,,,,
14,AirMeasFlw,AIRMEASFLW,Float,1,R/W,100,,,,,,,,,,,
15,AirMeasFlwPct,AIRMEASFLWPCT,Float,1,R/W,100,,,,,,,,,,,
16,AirMeasTmp,AIRMEASTMP,Float,1,R/W,100,,,,,,,,,,,
17,AirOut,AIROUT,Float,1,R/W,100,,,,,,,,,,,
18,AirOutLtoffDual,AIROUTLTOFFDUAL,Float,1,R/W,100,,,,,,,,,,,
19,AirOutLtoffGas,AIROUTLTOFFGAS,Float,1,R/W,100,,,,,,,,,,,
20,AirOutLtoffOil,AIROUTLTOFFOIL,Float,1,R/W,100,,,,,,,,,,,
21,AirPv,AIRPV,Float,1,R/W,100,,,,,,,,,,,
22,AirPvAlDb,AIRPVALDB,Float,1,R/W,100,,,,,,,,,,,
23,AirPvHiAlLim,AIRPVHIALLIM,Float,1,R/W,100,,,,,,,,,,,
24,AirPvLoAlLim,AIRPVLOALLIM,Float,1,R/W,100,,,,,,,,,,,
25,AirPvMax,AIRPVMAX,Float,1,R/W,100,,,,,,,,,,,
26,AirPvMin,AIRPVMIN,Float,1,R/W,100,,,,,,,,,,,
27,AirPvPreFar,AIRPVPREFAR,Float,1,R/W,100,,,,,,,,,,,
28,AirPvPreTrim,AIRPVPRETRIM,Float,1,R/W,100,,,,,,,,,,,
29,AirPvRng,AIRPVRNG,Float,1,R/W,100,,,,,,,,,,,
30,AirPvSpDev,AIRPVSPDEV,Float,1,R/W,100,,,,,,,,,,,
31,AirRefTmp,AIRREFTMP,Float,1,R/W,100,,,,,,,,,,,
32,AirSp,AIRSP,Float,1,R/W,100,,,,,,,,,,,
33,AirSpare2,AIRSPARE2,Float,1,R/W,100,,,,,,,,,,,
34,AirSpareParm1,AIRSPAREPARM1,Float,1,R/W,100,,,,,,,,,,,
35,AirSpHiLim,AIRSPHILIM,Float,1,R/W,100,,,,,,,,,,,
36,AirSpLoLim,AIRSPLOLIM,Float,1,R/W,100,,,,,,,,,,,
37,AirTd,AIRTD,Float,1,R/W,100,,,,,,,,,,,
38,AirTdFast,AIRTDFAST,Float,1,R/W,100,,,,,,,,,,,
39,AirTi,AIRTI,Float,1,R/W,100,,,,,,,,,,,
40,AirTiFast,AIRTIFAST,Float,1,R/W,100,,,,,,,,,,,
41,AiSpare69,AISPARE69,Float,1,R/W,100,,,,,,,,,,,
42,AiSpare69Max,AISPARE69MAX,Float,1,R/W,100,,,,,,,,,,,
43,AiSpare69Min,AISPARE69MIN,Float,1,R/W,100,,,,,,,,,,,
44,AiSpare69Pct,AISPARE69PCT,Float,1,R/W,100,,,,,,,,,,,
45,AiSpare69Rng,AISPARE69RNG,Float,1,R/W,100,,,,,,,,,,,
46,AiSpare80Eu,AISPARE80EU,Float,1,R/W,100,,,,,,,,,,,
47,AiSpare80Max,AISPARE80MAX,Float,1,R/W,100,,,,,,,,,,,
48,AiSpare80Min,AISPARE80MIN,Float,1,R/W,100,,,,,,,,,,,
49,AiSpare80Pct,AISPARE80PCT,Float,1,R/W,100,,,,,,,,,,,
50,AiSpare80Rng,AISPARE80RNG,Float,1,R/W,100,,,,,,,,,,,
51,AoAphTcvPos,AOAPHTCVPOS,Float,1,R/W,100,,,,,,,,,,,
52,AoAphTcvPosSet,AOAPHTCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
53,AoAphTcvPosSetDev,AOAPHTCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
54,AoAtmStmPcvPos,AOATMSTMPCVPOS,Float,1,R/W,100,,,,,,,,,,,
55,AoAtmStmPosSet,AOATMSTMPOSSET,Float,1,R/W,100,,,,,,,,,,,
56,AoAtmStmPosSetDev,AOATMSTMPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
57,AoBiasFcvPos,AOBIASFCVPOS,Float,1,R/W,100,,,,,,,,,,,
58,AoBiasFcvPosSet,AOBIASFCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
59,AoBiasFcvPosSetDev,AOBIASFCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
60,AoDaStmPcvPos,AODASTMPCVPOS,Float,1,R/W,100,,,,,,,,,,,
61,AoDaStmPcvPosSet,AODASTMPCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
62,AoDaStmPcvPosSetDev,AODASTMPCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
63,AoDaWtrLcv2Pos,AODAWTRLCV2POS,Float,1,R/W,100,,,,,,,,,,,
64,AoDaWtrLcv2PosSet,AODAWTRLCV2POSSET,Float,1,R/W,100,,,,,,,,,,,
65,AoDaWtrLcv2PosSetDev,AODAWTRLCV2POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
66,AoDaWtrLcvPos,AODAWTRLCVPOS,Float,1,R/W,100,,,,,,,,,,,
67,AoDaWtrLcvPosSet,AODAWTRLCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
68,AoDaWtrLcvPosSetDev,AODAWTRLCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
69,AoFddPos,AOFDDPOS,Float,1,R/W,100,,,,,,,,,,,
70,AoFddPosSet,AOFDDPOSSET,Float,1,R/W,100,,,,,,,,,,,
71,AoFddPosSetDev,AOFDDPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
72,AoFdfSpd,AOFDFSPD,Float,1,R/W,100,,,,,,,,,,,
73,AoFdfSpdSet,AOFDFSPDSET,Float,1,R/W,100,,,,,,,,,,,
74,AoFdfSpdSetDev,AOFDFSPDSETDEV,Float,1,R/W,100,,,,,,,,,,,
75,AoFdw1Spd,AOFDW1SPD,Float,1,R/W,100,,,,,,,,,,,
76,AoFdw1SpdSet,AOFDW1SPDSET,Float,1,R/W,100,,,,,,,,,,,
77,AoFdw1SpdSetDev,AOFDW1SPDSETDEV,Float,1,R/W,100,,,,,,,,,,,
78,AoFdw2Spd,AOFDW2SPD,Float,1,R/W,100,,,,,,,,,,,
79,AoFdw2SpdSet,AOFDW2SPDSET,Float,1,R/W,100,,,,,,,,,,,
80,AoFdw2SpdSetDev,AOFDW2SPDSETDEV,Float,1,R/W,100,,,,,,,,,,,
81,AoFdwFcvPos,AOFDWFCVPOS,Float,1,R/W,100,,,,,,,,,,,
82,AoFdwFcvPosSet,AOFDWFCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
83,AoFdwFcvPosSetDev,AOFDWFCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
84,AoFgrdPos,AOFGRDPOS,Float,1,R/W,100,,,,,,,,,,,
85,AoFgrdPosSet,AOFGRDPOSSET,Float,1,R/W,100,,,,,,,,,,,
86,AoFgrdPosSetDev,AOFGRDPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
87,AoFgrfSpd,AOFGRFSPD,Float,1,R/W,100,,,,,,,,,,,
88,AoFgrfSpdSet,AOFGRFSPDSET,Float,1,R/W,100,,,,,,,,,,,
89,AoFgrfSpdSetDev,AOFGRFSPDSETDEV,Float,1,R/W,100,,,,,,,,,,,
90,AoGasFcvPos,AOGASFCVPOS,Float,1,R/W,100,,,,,,,,,,,
91,AoGasFcvPosSet,AOGASFCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
92,AoGasFcvPosSetDev,AOGASFCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
93,AoIbdPos,AOIBDPOS,Float,1,R/W,100,,,,,,,,,,,
94,AoIbdPosSet,AOIBDPOSSET,Float,1,R/W,100,,,,,,,,,,,
95,AoIbdPosSetDev,AOIBDPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
96,AoIdfSpd,AOIDFSPD,Float,1,R/W,100,,,,,,,,,,,
97,AoIdfSpdSet,AOIDFSPDSET,Float,1,R/W,100,,,,,,,,,,,
98,AoIdfSpdSetDev,AOIDFSPDSETDEV,Float,1,R/W,100,,,,,,,,,,,
99,AoIvdPos,AOIVDPOS,Float,1,R/W,100,,,,,,,,,,,
100,AoIvdPosSet,AOIVDPOSSET,Float,1,R/W,100,,,,,,,,,,,
101,AoIvdPosSetDev,AOIVDPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
102,AoJckPos,AOJCKPOS,Float,1,R/W,100,,,,,,,,,,,
103,AoJckPosSet,AOJCKPOSSET,Float,1,R/W,100,,,,,,,,,,,
104,AoJckPosSetDev,AOJCKPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
105,AoMdPcvPos,AOMDPCVPOS,Float,1,R/W,100,,,,,,,,,,,
106,AoMdPcvPosSet,AOMDPCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
107,AoMdPcvPosSetDev,AOMDPCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
108,AoOilFcvPos,AOOILFCVPOS,Float,1,R/W,100,,,,,,,,,,,
109,AoOilFcvPosSet,AOOILFCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
110,AoOilFcvPosSetDev,AOOILFCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
111,AoOutDmpPos,AOOUTDMPPOS,Float,1,R/W,100,,,,,,,,,,,
112,AoOutDmpPosSet,AOOUTDMPPOSSET,Float,1,R/W,100,,,,,,,,,,,
113,AoOutDmpPosSetDev,AOOUTDMPPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
114,AoSpare17,AOSPARE17,Float,1,R/W,100,,,,,,,,,,,
115,AoSpare17PosSet,AOSPARE17POSSET,Float,1,R/W,100,,,,,,,,,,,
116,AoSpare17PosSetDev,AOSPARE17POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
117,AoSpare26,AOSPARE26,Float,1,R/W,100,,,,,,,,,,,
118,AoSpare26PosSet,AOSPARE26POSSET,Float,1,R/W,100,,,,,,,,,,,
119,AoSpare26PosSetDev,AOSPARE26POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
120,AoSpare27,AOSPARE27,Float,1,R/W,100,,,,,,,,,,,
121,AoSpare27PosSet,AOSPARE27POSSET,Float,1,R/W,100,,,,,,,,,,,
122,AoSpare27PosSetDev,AOSPARE27POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
123,AoSpare28,AOSPARE28,Float,1,R/W,100,,,,,,,,,,,
124,AoSpare28PosSet,AOSPARE28POSSET,Float,1,R/W,100,,,,,,,,,,,
125,AoSpare28PosSetDev,AOSPARE28POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
126,AoSpare29,AOSPARE29,Float,1,R/W,100,,,,,,,,,,,
127,AoSpare29PosSet,AOSPARE29POSSET,Float,1,R/W,100,,,,,,,,,,,
128,AoSpare29PosSetDev,AOSPARE29POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
129,AoSpare30,AOSPARE30,Float,1,R/W,100,,,,,,,,,,,
130,AoSpare30PosSet,AOSPARE30POSSET,Float,1,R/W,100,,,,,,,,,,,
131,AoSpare30PosSetDev,AOSPARE30POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
132,AoSpare31,AOSPARE31,Float,1,R/W,100,,,,,,,,,,,
133,AoSpare31PosSet,AOSPARE31POSSET,Float,1,R/W,100,,,,,,,,,,,
134,AoSpare31PosSetDev,AOSPARE31POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
135,AoSpare32,AOSPARE32,Float,1,R/W,100,,,,,,,,,,,
136,AoSpare32PosSet,AOSPARE32POSSET,Float,1,R/W,100,,,,,,,,,,,
137,AoSpare32PosSetDev,AOSPARE32POSSETDEV,Float,1,R/W,100,,,,,,,,,,,
138,AoStmInjFcvPos,AOSTMINJFCVPOS,Float,1,R/W,100,,,,,,,,,,,
139,AoStmInjFcvPosSet,AOSTMINJFCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
140,AoStmInjFcvPosSetDev,AOSTMINJFCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
141,AoStmTcvPos,AOSTMTCVPOS,Float,1,R/W,100,,,,,,,,,,,
142,AoStmTcvPosSet,AOSTMTCVPOSSET,Float,1,R/W,100,,,,,,,,,,,
143,AoStmTcvPosSetDev,AOSTMTCVPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
144,AoWbdPos,AOWBDPOS,Float,1,R/W,100,,,,,,,,,,,
145,AoWbdPosSet,AOWBDPOSSET,Float,1,R/W,100,,,,,,,,,,,
146,AoWbdPosSetDev,AOWBDPOSSETDEV,Float,1,R/W,100,,,,,,,,,,,
147,AphTcvPos,APHTCVPOS,Float,1,R/W,100,,,,,,,,,,,
148,AphTcvPosDev,APHTCVPOSDEV,Float,1,R/W,100,,,,,,,,,,,
149,AtmStmPcvPos,ATMSTMPCVPOS,Float,1,R/W,100,,,,,,,,,,,
150,AtmStmPcvPosDev,ATMSTMPCVPOSDEV,Float,1,R/W,100,,,,,,,,,,,
151,B7AirPrs,B7AIRPRS,Float,1,R/W,100,,,,,,,,,,,
152,B7AirPrsMax,B7AIRPRSMAX,Float,1,R/W,100,,,,,,,,,,,
153,B7AirPrsMin,B7AIRPRSMIN,Float,1,R/W,100,,,,,,,,,,,
154,B7AirPrsPct,B7AIRPRSPCT,Float,1,R/W,100,,,,,,,,,,,
155,B7AirPrsRng,B7AIRPRSRNG,Float,1,R/W,100,,,,,,,,,,,
156,B7ChemCond,B7CHEMCOND,Float,1,R/W,100,,,,,,,,,,,
157,B7ChemCondMax,B7CHEMCONDMAX,Float,1,R/W,100,,,,,,,,,,,
158,B7ChemCondMin,B7CHEMCONDMIN,Float,1,R/W,100,,,,,,,,,,,
159,B7ChemCondPct,B7CHEMCONDPCT,Float,1,R/W,100,,,,,,,,,,,
160,B7ChemCondRng,B7CHEMCONDRNG,Float,1,R/W,100,,,,,,,,,,,
161,B7CondRetFlw,B7CONDRETFLW,Float,1,R/W,100,,,,,,,,,,,
162,B7CondRetFlwMax,B7CONDRETFLWMAX,Float,1,R/W,100,,,,,,,,,,,
163,B7CondRetFlwMin,B7CONDRETFLWMIN,Float,1,R/W,100,,,,,,,,,,,
164,B7CondRetFlwPct,B7CONDRETFLWPCT,Float,1,R/W,100,,,,,,,,,,,
165,B7CondRetFlwRng,B7CONDRETFLWRNG,Float,1,R/W,100,,,,,,,,,,,
166,B7DeminFlw,B7DEMINFLW,Float,1,R/W,100,,,,,,,,,,,
167,B7DeminFlwMax,B7DEMINFLWMAX,Float,1,R/W,100,,,,,,,,,,,
168,B7DeminFlwMin,B7DEMINFLWMIN,Float,1,R/W,100,,,,,,,,,,,
169,B7DeminFlwPct,B7DEMINFLWPCT,Float,1,R/W,100,,,,,,,,,,,
170,B7DeminFlwRng,B7DEMINFLWRNG,Float,1,R/W,100,,,,,,,,,,,
171,B7WtrPrs,B7WTRPRS,Float,1,R/W,100,,,,,,,,,,,
172,B7WtrPrsMax,B7WTRPRSMAX,Float,1,R/W,100,,,,,,,,,,,
173,B7WtrPrsMin,B7WTRPRSMIN,Float,1,R/W,100,,,,,,,,,,,
174,B7WtrPrsPct,B7WTRPRSPCT,Float,1,R/W,100,,,,,,,,,,,
175,B7WtrPrsRng,B7WTRPRSRNG,Float,1,R/W,100,,,,,,,,,,,
176,BFWCondHiHiLim,BFWCONDHIHILIM,Float,1,R/W,100,,,,,,,,,,,
177,BFWCondHiLim,BFWCONDHILIM,Float,1,R/W,100,,,,,,,,,,,
178,BiasFcvPos,BIASFCVPOS,Float,1,R/W,100,,,,,,,,,,,
179,BiasFcvPosDev,BIASFCVPOSDEV,Float,1,R/W,100,,,,,,,,,,,
180,BiasFcvPosFb,BIASFCVPOSFB,Float,1,R/W,100,,,,,,,,,,,
181,BiasFcvPosFbMax,BIASFCVPOSFBMAX,Float,1,R/W,100,,,,,,,,,,,
182,BiasFcvPosFbMin,BIASFCVPOSFBMIN,Float,1,R/W,100,,,,,,,,,,,
183,BiasFcvPosFbPct,BIASFCVPOSFBPCT,Float,1,R/W,100,,,,,,,,,,,
184,BiasFcvPosFbRng,BIASFCVPOSFBRNG,Float,1,R/W,100,,,,,,,,,,,
185,BlrExPrs,BLREXPRS,Float,1,R/W,100,,,,,,,,,,,
186,BlrExPrsMax,BLREXPRSMAX,Float,1,R/W,100,,,,,,,,,,,
187,BlrExPrsMin,BLREXPRSMIN,Float,1,R/W,100,,,,,,,,,,,
188,BlrExPrsPct,BLREXPRSPCT,Float,1,R/W,100,,,,,,,,,,,
189,BlrExPrsRng,BLREXPRSRNG,Float,1,R/W,100,,,,,,,,,,,
190,BmsLastScan,BMSLASTSCAN,Float,1,R/W,100,,,,,,,,,,,
191,BmsMaxScan,BMSMAXSCAN,Float,1,R/W,100,,,,,,,,,,,
192,BrnRegDp,BRNREGDP,Float,1,R/W,100,,,,,,,,,,,
193,BrnRegDpMax,BRNREGDPMAX,Float,1,R/W,100,,,,,,,,,,,
194,BrnRegDpMin,BRNREGDPMIN,Float,1,R/W,100,,,,,,,,,,,
195,BrnRegDpPct,BRNREGDPPCT,Float,1,R/W,100,,,,,,,,,,,
196,BrnRegDpRng,BRNREGDPRNG,Float,1,R/W,100,,,,,,,,,,,
197,CabIntTmp,CABINTTMP,Float,1,R/W,100,,,,,,,,,,,
198,CabIntTmpMax,CABINTTMPMAX,Float,1,R/W,100,,,,,,,,,,,
199,CabIntTmpMin,CABINTTMPMIN,Float,1,R/W,100,,,,,,,,,,,
200,CabIntTmpPct,CABINTTMPPCT,Float,1,R/W,100,,,,,,,,,,,
201,CabIntTmpRng,CABINTTMPRNG,Float,1,R/W,100,,,,,,,,,,,
202,CbdFlw,CBDFLW,Float,1,R/W,100,,,,,,,,,,,
203,CbdFlwMax,CBDFLWMAX,Float,1,R/W,100,,,,,,,,,,,
204,CbdFlwMin,CBDFLWMIN,Float,1,R/W,100,,,,,,,,,,,
205,CbdFlwPct,CBDFLWPCT,Float,1,R/W,100,,,,,,,,,,,
206,CbdFlwRng,CBDFLWRNG,Float,1,R/W,100,,,,,,,,,,,
207,CombAirFlwA,COMBAIRFLWA,Float,1,R/W,100,,,,,,,,,,,
208,CombAirFlwAMax,COMBAIRFLWAMAX,Float,1,R/W,100,,,,,,,,,,,
209,CombAirFlwAMin,COMBAIRFLWAMIN,Float,1,R/W,100,,,,,,,,,,,
210,CombAirFlwAPct,COMBAIRFLWAPCT,Float,1,R/W,100,,,,,,,,,,,
211,CombAirFlwARng,COMBAIRFLWARNG,Float,1,R/W,100,,,,,,,,,,,
212,CombAirFlwB,COMBAIRFLWB,Float,1,R/W,100,,,,,,,,,,,
213,CombAirFlwBMax,COMBAIRFLWBMAX,Float,1,R/W,100,,,,,,,,,,,
214,CombAirFlwBMin,COMBAIRFLWBMIN,Float,1,R/W,100,,,,,,,,,,,
215,CombAirFlwBPct,COMBAIRFLWBPCT,Float,1,R/W,100,,,,,,,,,,,
216,CombAirFlwBRng,COMBAIRFLWBRNG,Float,1,R/W,100,,,,,,,,,,,
217,CombAirFlwDevEuLim,COMBAIRFLWDEVEULIM,Float,1,R/W,100,,,,,,,,,,,
218,CombAirFlwEuAvg,COMBAIRFLWEUAVG,Float,1,R/W,100,,,,,,,,,,,
219,CombAirFlwEuDev,COMBAIRFLWEUDEV,Float,1,R/W,100,,,,,,,,,,,
220,CombAirFlwPctAvg,COMBAIRFLWPCTAVG,Float,1,R/W,100,,,,,,,,,,,
221,CombAirInTmp,COMBAIRINTMP,Float,1,R/W,100,,,,,,,,,,,
222,CombAirInTmpMax,COMBAIRINTMPMAX,Float,1,R/W,100,,,,,,,,,,,
223,CombAirInTmpMin,COMBAIRINTMPMIN,Float,1,R/W,100,,,,,,,,,,,
224,CombAirInTmpPct,COMBAIRINTMPPCT,Float,1,R/W,100,,,,,,,,,,,
225,CombAirInTmpRng,COMBAIRINTMPRNG,Float,1,R/W,100,,,,,,,,,,,
226,CombAirPhTmp,COMBAIRPHTMP,Float,1,R/W,100,,,,,,,,,,,
227,CombAirPhTmpMax,COMBAIRPHTMPMAX,Float,1,R/W,100,,,,,,,,,,,
228,CombAirPhTmpMin,COMBAIRPHTMPMIN,Float,1,R/W,100,,,,,,,,,,,
229,CombAirPhTmpPct,COMBAIRPHTMPPCT,Float,1,R/W,100,,,,,,,,,,,
230,CombAirPhTmpRng,COMBAIRPHTMPRNG,Float,1,R/W,100,,,,,,,,,,,
231,CombAirPrs,COMBAIRPRS,Float,1,R/W,100,,,,,,,,,,,
232,CombAirPrsMax,COMBAIRPRSMAX,Float,1,R/W,100,,,,,,,,,,,
233,CombAirPrsMin,COMBAIRPRSMIN,Float,1,R/W,100,,,,,,,,,,,
234,CombAirPrsPct,COMBAIRPRSPCT,Float,1,R/W,100,,,,,,,,,,,
235,CombAirPrsRng,COMBAIRPRSRNG,Float,1,R/W,100,,,,,,,,,,,
236,DalCv,DALCV,Float,1,R/W,100,,,,,,,,,,,
237,DalDb,DALDB,Float,1,R/W,100,,,,,,,,,,,
238,DalErrAlDb,DALERRALDB,Float,1,R/W,100,,,,,,,,,,,
239,DalErrNegAlLim,DALERRNEGALLIM,Float,1,R/W,100,,,,,,,,,,,
240,DalErrPosAlLim,DALERRPOSALLIM,Float,1,R/W,100,,,,,,,,,,,
241,DalKc,DALKC,Float,1,R/W,100,,,,,,,,,,,
242,DalOut,DALOUT,Float,1,R/W,100,,,,,,,,,,,
243,DalPv,DALPV,Float,1,R/W,100,,,,,,,,,,,
244,DalPvAlDb,DALPVALDB,Float,1,R/W,100,,,,,,,,,,,
245,DalPvHiAlLim,DALPVHIALLIM,Float,1,R/W,100,,,,,,,,,,,
246,DalPvLoAlLim,DALPVLOALLIM,Float,1,R/W,100,,,,,,,,,,,
247,DalPvMax,DALPVMAX,Float,1,R/W,100,,,,,,,,,,,
248,DalPvMin,DALPVMIN,Float,1,R/W,100,,,,,,,,,,,
249,DalPvPct,DALPVPCT,Float,1,R/W,100,,,,,,,,,,,
250,DalPvRng,DALPVRNG,Float,1,R/W,100,,,,,,,,,,,
251,DalPvSpDev,DALPVSPDEV,Float,1,R/W,100,,,,,,,,,,,
252,DalSp,DALSP,Float,1,R/W,100,,,,,,,,,,,
253,DalSpare2,DALSPARE2,Float,1,R/W,100,,,,,,,,,,,
254,DalSpare3,DALSPARE3,Float,1,R/W,100,,,,,,,,,,,
255,DalSpare4,DALSPARE4,Float,1,R/W,100,,,,,,,,,,,
256,DalSpare5,DALSPARE5,Float,1,R/W,100,,,,,,,,,,,
257,DalSpareParm1,DALSPAREPARM1,Float,1,R/W,100,,,,,,,,,,,
258,DalSpareParm2,DALSPAREPARM2,Float,1,R/W,100,,,,,,,,,,,
259,DalSpHiLim,DALSPHILIM,Float,1,R/W,100,,,,,,,,,,,
260,DalSpLoLim,DALSPLOLIM,Float,1,R/W,100,,,,,,,,,,,
261,DalSpPct,DALSPPCT,Float,1,R/W,100,,,,,,,,,,,
262,DalTd,DALTD,Float,1,R/W,100,,,,,,,,,,,
263,DalTi,DALTI,Float,1,R/W,100,,,,,,,,,,,
264,DaLvl,DALVL,Float,1,R/W,100,,,,,,,,,,,
265,DaLvlMax,DALVLMAX,Float,1,R/W,100,,,,,,,,,,,
266,DaLvlMin,DALVLMIN,Float,1,R/W,100,,,,,,,,,,,
267,DaLvlPct,DALVLPCT,Float,1,R/W,100,,,,,,,,,,,
268,DaLvlRng,DALVLRNG,Float,1,R/W,100,,,,,,,,,,,
269,DapCv,DAPCV,Float,1,R/W,100,,,,,,,,,,,
270,DapDb,DAPDB,Float,1,R/W,100,,,,,,,,,,,
271,DapErrAlDb,DAPERRALDB,Float,1,R/W,100,,,,,,,,,,,
272,DapErrNegAlLim,DAPERRNEGALLIM,Float,1,R/W,100,,,,,,,,,,,
273,DapErrPosAlLim,DAPERRPOSALLIM,Float,1,R/W,100,,,,,,,,,,,
274,DapKc,DAPKC,Float,1,R/W,100,,,,,,,,,,,
275,DapOut,DAPOUT,Float,1,R/W,100,,,,,,,,,,,
276,DapPv,DAPPV,Float,1,R/W,100,,,,,,,,,,,
277,DapPvAlDb,DAPPVALDB,Float,1,R/W,100,,,,,,,,,,,
278,DapPvHiAlLim,DAPPVHIALLIM,Float,1,R/W,100,,,,,,,,,,,
279,DapPvLoAlLim,DAPPVLOALLIM,Float,1,R/W,100,,,,,,,,,,,
